,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,#NAME?
Player,Nation,Pos,Age,90s,Made_Tkl,Made_TklW,Made_Def 3rd,Made_Mid 3rd,Made_Att 3rd,Dribbler_Tkl,Dribbler_Tkl_Att_And_Past,Dribbler_Tkl%,Dribbler_Past,Press,Press_Succ,Press_%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,Block_Sh,ShSv,Block_Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
Marc-André ter Stegen,de GER,GK,30-166,8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,6f51e382
Robert Lewandowski,pl POL,FW,34-053,7,4,1,0,1,3,1,4,25,3,76,18,23.7,2,23,51,6,0,0,6,1,5,1,0,Matches,8d78e732
Gavi Paez,es ESP,MF,18-069,6.4,13,10,1,8,4,6,9,66.7,3,142,39,27.5,15,78,49,5,1,0,4,9,22,4,0,Matches,19cae58d
Alejandro Balde,es ESP,DFFW,18-360,6.1,10,6,4,4,2,4,9,44.4,5,69,20,29,37,17,15,12,1,0,11,8,18,6,0,Matches,5ccc9672
Sergio Busquets,es ESP,MF,34-089,5.8,15,10,6,6,3,6,11,54.5,5,76,30,39.5,22,43,11,5,1,0,4,5,20,11,0,Matches,5ab0ea87
Pedri,es ESP,MF,19-322,5.8,7,6,2,3,2,1,13,7.7,12,107,25,23.4,18,54,35,9,0,0,9,9,16,4,0,Matches,0d9b2d31
Ronald Araújo,uy URU,DF,23-220,5.7,7,5,5,2,0,2,3,66.7,1,35,12,34.3,14,20,1,5,0,0,5,7,14,15,0,Matches,2bef2bca
Ousmane Dembélé,fr FRA,FW,25-151,5.6,6,4,1,2,3,2,5,40,3,70,11,15.7,12,27,31,9,0,0,9,1,7,0,0,Matches,b19db005
Raphinha,br BRA,FW,25-303,4.7,11,5,2,3,6,3,11,27.3,8,75,14,18.7,11,28,36,10,0,0,10,9,20,1,0,Matches,3423f250
Eric García,es ESP,DF,21-277,4.3,11,7,6,4,1,4,6,66.7,2,52,20,38.5,22,29,1,12,5,0,7,5,16,7,0,Matches,2bed3eab
Frenkie de Jong,nl NED,MF,25-154,4.2,12,10,3,6,3,4,6,66.7,2,53,22,41.5,10,31,12,3,0,0,3,5,17,3,0,Matches,1bacc518
Jordi Alba,es ESP,DF,33-206,3.2,4,4,3,1,0,2,5,40,3,24,9,37.5,15,7,2,7,1,0,6,4,8,4,0,Matches,4.60E+197
Jules Koundé,fr FRA,DF,23-335,3,1,1,1,0,0,1,1,100,0,16,6,37.5,4,6,6,3,1,1,2,1,2,1,0,Matches,4d1666ff
Gerard Piqué,es ESP,DF,35-253,3,3,3,1,2,0,1,1,100,0,17,8,47.1,4,12,1,4,1,0,3,1,4,22,0,Matches,adfc9123
Ferrán Torres,es ESP,FWMF,22-226,2.8,2,1,0,2,0,1,2,50,1,29,6,20.7,2,11,16,4,1,0,3,1,3,2,0,Matches,9e1035f8
Andreas Christensen,dk DEN,DF,26-186,2.7,1,0,1,0,0,0,2,0,2,15,6,40,5,9,1,2,0,0,2,4,5,6,0,Matches,1cb49278
Franck Kessié,ci CIV,MF,25-298,1.7,1,0,0,1,0,0,2,0,2,20,5,25,5,10,5,2,1,0,1,1,2,1,0,Matches,05e19d6a
Memphis Depay,nl NED,FW,28-242,1.3,1,1,1,0,0,0,0,,0,10,4,40,1,3,6,0,0,0,0,0,1,1,0,Matches,8f696594
Ansu Fati,es ESP,FW,19-347,2.8,6,5,3,2,1,1,3,33.3,2,40,16,40,11,13,16,4,0,0,4,4,10,2,0,Matches,0ba976e4
Héctor Bellerín,es ESP,DF,27-208,1.4,1,0,0,0,1,1,2,50,1,13,3,23.1,3,4,6,2,0,0,2,2,3,1,0,Matches,f874dd44
Marcos Alonso,es ESP,DF,31-289,1.1,0,0,0,0,0,0,1,0,1,7,1,14.3,6,1,0,2,1,0,1,1,1,3,0,Matches,f4290206
Sergi Roberto,es ESP,DF,30-248,1.4,2,2,1,1,0,1,2,50,1,14,3,21.4,5,7,2,3,1,0,2,4,6,6,0,Matches,335fa267
Pierre-Emerick Aubameyang,ga GAB,DF,33-117,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches,d5dd5f1f
Squad Total,,,26.2,8,118,81,41,48,29,41,98,41.8,57,960,278,29,224,433,303,109,15,1,94,82,200,102,0,,-9999
Opponent Total,,,28.1,8,157,107,94,48,15,71,141,50.4,70,1090,297,27.2,409,473,208,139,37,2,102,109,266,123,1,,-9999
